X,Y,Z,dip,azimuth,polarity,formation,series,formation number,G_x,G_y,G_z
389522.457411607,8056172.232586067,1427.5,12.261678402471125,14.907160570596634,1,Unit1,Default series,1,0.054634702561264965,0.20522908454489172,0.9771878387152123
389519.72397565003,8056844.20664545,1452.0,15.845805386851954,210.32945734547783,1,Unit1,Default series,1,-0.13788215709148588,-0.23567878759892638,0.9620000103075358
388678.5581529495,8057395.964853718,1456.2727272727273,15.264534449793976,214.13132863420563,1,Unit1,Default series,1,-0.1477219447235924,-0.21792762917012196,0.9647205686059408
387230.42253604525,8056986.246527827,1453.2857142857142,9.719582234325381,24.60428827492582,1,Unit1,Default series,1,0.07029061708723612,0.1534976694847678,0.985645826152701
387431.6706705596,8058263.974708434,1479.6666666666667,10.69091653072199,211.71476752585852,1,Unit1,Default series,1,-0.09752136114624455,-0.15780954762655922,0.9826422191205121
384977.61719081417,8058344.850893545,1495.5,5.886034569111452,14.8369367836165,1,Unit1,Default series,1,0.0262598954835753,0.09913090958533521,0.9947278425046601
382805.07114714297,8059804.01571455,1413.0,2.7367204646902947,18.588327376995892,1,Unit1,Default series,1,0.015220010281675713,0.045255842166733465,0.9988594796250398
388660.19101055665,8059745.443169583,1420.8333333333333,2.6083567884354766,53.55786845375925,1,Unit1,Default series,1,0.036609794961767084,0.027032644468588832,0.9989639428157016
