X,Y,Z,formation,series,formation number
616260.4904512288,2473509.8602609155,340.0,Unit1,Default series,1
616120.6502441291,2473504.7064278224,328.0,Unit1,Default series,1
616034.1033638869,2473543.1810793476,325.0,Unit1,Default series,1
615929.7163427741,2473628.887399656,364.0,Unit1,Default series,1
615763.8654485482,2473572.7901258413,347.0,Unit1,Default series,1
615582.5712134665,2473408.0579211577,325.0,Unit1,Default series,1
615456.9734467461,2473337.8137049945,331.0,Unit1,Default series,1
615436.3194234864,2473483.846168206,361.0,Unit1,Default series,1
615201.8190121836,2473418.7682842677,356.0,Unit1,Default series,1
614897.7367630106,2473403.7623175173,352.0,Unit1,Default series,1
614791.2033581466,2473533.7378009004,355.0,Unit1,Default series,1
614862.5086343456,2473678.0855601495,352.0,Unit1,Default series,1
614774.8693881596,2473823.0290325154,356.0,Unit1,Default series,1
614652.8885884902,2473987.6130195064,364.0,Unit1,Default series,1
614495.7419152457,2473962.8420601944,346.0,Unit1,Default series,1
614359.3055098776,2474033.80522386,363.0,Unit1,Default series,1
614334.2241452662,2474091.3056510994,373.0,Unit1,Default series,1
614257.7221483086,2474131.9767476176,351.0,Unit1,Default series,1
614191.0460659302,2474213.8878230024,350.0,Unit1,Default series,1
614322.15589726,2474326.3130255435,355.0,Unit1,Default series,1
614084.175830286,2474351.3877270916,350.0,Unit1,Default series,1
613930.4683246105,2474270.465723183,348.0,Unit1,Default series,1
613832.1424127334,2474298.1815386564,351.0,Unit1,Default series,1
616903.0359995613,2474389.0275600883,346.0,Unit2,Default series,2
616947.1973890348,2474468.680512848,367.0,Unit2,Default series,2
617011.1823215485,2474499.1538945697,360.0,Unit2,Default series,2
617099.7941634513,2474582.547184989,356.0,Unit2,Default series,2
617112.329303884,2474635.202552163,371.0,Unit2,Default series,2
617269.0909123657,2474661.133960376,363.0,Unit2,Default series,2
617360.9780467399,2474720.7357474174,368.0,Unit2,Default series,2
617504.1541187476,2474826.0688881883,376.0,Unit2,Default series,2
617572.7445980392,2474845.79955963,366.0,Unit2,Default series,2
617701.747931488,2474929.263645516,376.0,Unit2,Default series,2
617683.0562507387,2474989.2295795325,401.0,Unit2,Default series,2
617667.0303075635,2475084.3563480927,438.0,Unit2,Default series,2
617690.9221368062,2475141.1705513997,473.0,Unit2,Default series,2
617719.0706176664,2475165.1830016715,468.0,Unit2,Default series,2
617984.3345303724,2475179.9729177034,404.0,Unit2,Default series,2
618110.3852963282,2475102.802083843,369.0,Unit2,Default series,2
618138.1974606091,2475119.0436871443,363.0,Unit2,Default series,2
618126.0274830069,2475197.449618059,396.0,Unit2,Default series,2
618119.7643556179,2475290.9737671386,437.0,Unit2,Default series,2
618154.4536198274,2475344.3298800928,451.0,Unit2,Default series,2
618235.5930981615,2475327.113640267,420.0,Unit2,Default series,2
618265.8559252202,2475359.484284341,421.0,Unit2,Default series,2
618321.773697537,2475437.4908199036,438.0,Unit2,Default series,2
